Equipment Category,Manufacturer Name,Model Name,Dimensions,column4
RRU/RRH,Huawei,3804,485x285x170,
Antenna,Commscope,LDX-6515DS-VTM,2073 x 269 x 132 mm,
RRU/RRH,Ericsson,5904,400 x 300 x 120 mm,
Dish,CommScope,VHLP2-7W-HW1A,0.6m,
RRU/RRH,Ericsson,5909,400 x 300 x 120 mm,
Antenna,Commscope,LBX-6516DS-VTM,2577x269x132,
Dish,Huawei,A7WD06MDD-3NX,0.6,
Antenna,HUAWEI,ADU4518R1V06,1365 x 260 x 80mm,
Antenna,TBD,TBD,"2,133.00cm x 356.00cm x 176.00mm [839.76"" x 140.16"" x 6.93""]",
Antenna,Huawei,AAU5339,699x395x160,
RRU/RRH,Ericsson,RRU 12B2,518 x 470 x 156mm,
Antenna,RYMSA,BGD3-800TV,1306 x 168 x 84mm,
Antenna,Commscope,HBX-6516DS-VTM,1420 x 200 x 71mm,
Dish,Ericsson,Mini Link,0.6m,
Dish,Ericsson,Minilink,1.2,
Dish,Huawei,A15S03HAC,0.6,
Antenna,Huawei,ADU-4518R1V06,1365x269x86,
RRU/RRH,Ericsson,12B2,516 x 470 x 156mm,
Antenna,Moyano,MY-DBS-196518,1300 x 160 x 65 mm,
RRU/RRH,Ericsson,11B2,836 x 383 x 169mm,
Dish,Alcatel,UX9400,0.60 m,
Antenna,Commscope,HBX-6516DS-VTM,1306 x 168 x 84 mm,
Antenna,Comba,ODV2-065R18K-G,1315 x 265 x 90 mm,
Antenna,PD,,1315 x 265 x 90 mm,
Dish,Alcatel,UX9400,0.6,
Antenna,Commscope,HBX-6516DS-VTM,1306 x 166 x 83 mm,
Antenna,Commscope,DBXLH-6565EC-VTM,1294 x 269 x 132 mm,
Dish,PD,PD,0.9 m,
RRU/RRH,Huawei,3900,480 x 270 x 140 mm,
Antenna,Huawei,ATR4518R14V06,1360x269x89,
Antenna,Andrew,HBX-6516DF-DS-VTM,1306 x 166 x 83 mm,
RRU/RRH,Ericsson,221940,571 x 365 x 292 mm,
Dish,Ericsson,Mini-Link,0.6 m,
Antenna,Rymsa,MGD3-800TV,1340 x 179 x 100 mm,
Dish,Ericsson,Mini-Link,0.6,
Antenna,Rymsa,MGD3-800TV,1340 x 160 x 90 mm,
RRU/RRH,Huawei,3936,470 x 300 x 120 mm,
RRU/RRH,Ericsson,3268,470 x 300 x 120 mm,
Antenna,Commscope,2CPX208R-V1,2090 x 504 x 118 mm,
Antenna,CommScope,2CPX208R-V1,2090x504x118,
Antenna,HUAWEI,AAU5726,1080x670x220mm,
RRU/RRH,HUAWEI,5258,480x356x140mm,
Antenna,HUAWEI,ATD4516R8V08,1100x259x135mm,
Antenna,PD,PD,1315x265x90mm,
Antenna,Commscope,DBXLH-6565EC-VTM,274 x 269 x 132 mm,
Antenna,Commscope,HBXX-6516DS-VTM,1294 x 305 x 166 mm,
Antenna,Huawei,AMB4519R5V06,2685 x 359 x 178 mm,
Antenna,Huawei,ATR4518R6V06,2350 x 450 x 240 mm,
RRU/RRH,Ericsson,02 B2,636 x 383 x 169mm,
Dish,Ericsson,Minilink,1.2 m,
Antenna,7220-12,Algon,1520 x 161 x 56 mm,
RRU/RRH,Ericsson,11 B2,636 x 383 x 169 mm,
Dish,Ericsson,Minilink,1.8,
Antenna,Commscope,HBX-6516DS-VTM,1306x166x83,
Antenna,Allgon,"7220,12",1502x161x56,
Dish,Ericsson,Minilink,1.8 m,
Antenna,Commscope,LDX-6515-VTM,2073 x 269 x 132 mm,
RRU/RRH,Huawei,3E21:H26804,485x285x170,
Antenna,Huawei,ATD4516R8V07,1100x260x130,
RRU/RRH,Ericsson,5258,480 x 350 x 140 mm,
RRU/RRH,Huawei,5258,480x350x140,
RRU/RRH,Huawei,5508,480 x356 x 140 mm,
Antenna,HUAWEI,ATD4516R8V07,1100x260x135mm,
Dish,TBD,TBD,0.30m,
Antenna,HUAWEI,AMB4519R6V06,2099x399x196mm,
Antenna,Comscope,LDX6515DS-VTM,2073x269x132,
Dish,Huawei,A7WD06MAC-3NX,0.6,
RRU/RRH,Ericsson,5904,400mm x 300mm x 150mm,
Dish,Huawei,A11S09HAC,0.9,
Dish,Andrew,VHLP2-7W-1A,0.60m,
Antenna,TBD,TBD,"2,133.00mm x 356.00mm x 178.00mm [83.98"" x 14.02"" x 7.01""]",
Antenna,Huawei,ADU4518R1V06,1365mm x 269mm x 86 mm,
Dish,Ericsson,Minilink,2.4,
Dish,Huawei,A7WD09MAC,0.9,
Dish,Ericsson,Minilink,1.80,
Dish,Huawei,A15S0.HAC,0.30m,
Dish,Ericsson,Minilink UKY 220 01/DC12,2.40 m,
Dish,Ericsson,Minilink UKY220 05/8C15,0.9 m,
Dish,Ericsson,Minilink 23044 01HAC/01H,1.20m,
RRU/RRH,Ericsson,SRRU B05-0850,485 x 380 x 170 mm,
Antenna,Huawei,ADU4516R6v06,2099x399x196,
RRU/RRH,Huawei,SRRU.B05-0850,485x380x170,
RRU/RRH,Huawei,3036,470x300x120,
Antenna,Commscope,CCVVPX308.11R-C3,2010x498x197,
Antenna,HUAWEI,AM4519R6V06,2099x399x196mm,
RRU/RRH,Huawei,3036,470 x 300 x 120 mm,
Antenna,HUAWEI,AAU5339,699x395x160mm,
Dish,Ericcson,MiniLink,0.60m,
Antenna,TBD,TBD,"1,365.00cm x 269.00cm x 86.00mm [537.4"" x 105.91"" x 3.39""]",
Antenna,Andrew,LDXX-6515DS-VTM,2070 x 549 x 165 mm,
Dish,PD,PD,1.2m,
Antenna,Andrew,CCVVPX308,2010 x 498 x 197 mm,
RRU/RRH,Huawei,5301,400 x 300 x 170 mm,
Antenna,Andrew,HBX-6515DS-VTM,2073 x 269 x 132 mm,
Antenna,Rymsa,MY DTBS196518,1302 x 155 x 70 mm,
Dish,Ericsson,Ericsson,0.6,
Dish,Ericsson,Ericsson,1.2,
RRU/RRH,Huawei,3952,400 x 300 x 170 mm,
Antenna,Commscope,LNX-6515DS-VTM,2453x301x180,
Antenna,Commscope,HWXX-6515DS1-VTM,1390x305x118,
Antenna,Commscope,HBX-6515DS-VTM,1306x166x83,
Antenna,Huawei,ASU4518R1V06,1365 x 269 x 86 mm,
Antenna,Andrew,HBX-6516DS-VTM,1306 x 168 x 84 mm,
Dish,Ericsson,,0.6 m,
Dish,Ericsson,,1.2 m,
Antenna,Andrew,LNX-6515DS-A1M-KT,2453 X 301 X 180 mm,
Antenna,Andrew,HWXX-6515DS1-VTM,1390 x 305 x 118mm,
Dish,PD,PD,0.6m,
RRU/RRH,Ericsson,11960,383 x 169 x 636mm,
Dish,CommScope,VHLP3-7W-HW1,1.0m,
Antenna,RYMSA,MGD3-800TV,1340x160x90 mm,
Antenna,Moyano,MY-DB19658,1430 x 170 x 185mm,
Dish,Commscope,VHLP3,1,
Dish,Huawei,A7WD06MDD,0.6,
Antenna,Commscope,HBX-6516DS-VTM,"1,306x168x84 mm",
Antenna,Andrew,PCS-09016-0D,142x20.3x7.0 cm,
Antenna,EMS,EMS RV65-18-00DP,"1,306x168x84 mm",
Antenna,Huawei,ADU4518RV01,1365 x 269 x 86 mm,
Dish,,,1.20 m,
Dish,Huawei,A07S18HAC,1.8 m,
Dish,Huawei,A07S18HAC,1.8,
RRU/RRH,Ericsson,5904,400 x 300 x 170 mm,
Dish,Ceragon,Am-2-15-CR,0.6,
Dish,Ericsson,Mini Link,0.6 m,
Dish,Ceragon,Am-2-15-CR,0.60 m,
Dish,Ericsson,Mini Link,1.20 m,
Dish,PD,PD (Reserved for future),1.2 m,
Antenna,ANDREW,HBX-6513DS,695 x 166 x 83 mm,
RRU/RRH,Huawei,5903,400mm x 300mm x 100mm,
Antenna,PD,Reserved for future,2133 x 356 x 178mm,
RRU/RRH,Huawei,SRRU.B05-0850,485mm x 280mm x 155mm,
Dish,Ceragon,AM-2-15-CR,0.6m,
Antenna,Commscope,LDX-6515-DS-VTM,2073mm x 269mm x 132mm,
Antenna,Commscope,LNX-6514DS-A1M-KT,1851x301x181,
Dish,CommScope,VHLP6,1.8,
Dish,Andrew,Minilink,1.8 m,
Antenna,EMS,RR651802DP,1422 x 1203 x 71 mm,
Antenna,Commscope,HBX-6516DS-VTM,306 x 168 x 84 mm,
RRU/RRH,Huawei,MRRU-1900,610x380x200,
RRU/RRH,Huawei,5508,480x256x140,
Antenna,TBD,TBD,1315x265x90mm,
Dish,HUAWEI,A7WD06MAC,0.60m,
Dish,Cambium,450B,0.5,
Dish,CommScope,VHLP3,0.9,
RRU/RRH,Ericsson,11060,383 x 169 x 636 mm,
RRU/RRH,Ericsson,221920,350 x 61 x 288 mm,
Antenna,Commscope,HBX-6516DS-VTM,1315 x 265 x84 mm,
Antenna,PD,PD,1315 x 265 x 90 mm,
Dish,CommScope,VHLP3-7W-HW1,0.9m,
Antenna,Huawei,AMB4519R4v06,2685 x 359 x 178 mm,
Dish,TBD,,0.90m,
RRU/RRH,TBD,TBD,480mmx270mmx140mm,
Antenna,HUAWEI,ATR4518R6,2020mmx349mmx166mm,
Antenna,HUAWEI,AAU5359,699mm x 395mm x 160mm,
RRU/RRH,Huawei,3959,400mmx300mmx100mm,
Antenna,HUAWEI,AMB4519R6v06,2099mm x 399mm x 196mm,
RRU/RRH,Huawei,5904,400mmx300mmx150mm,
Antenna,Huawei,AQU4518R21v06,1499 x 449 x 115 mm,
Dish,PD,PD,0.90m,
Dish,Ericsson,PD,0.60 m,
Dish,Huawei,A15S03HAC,0.3m,
Dish,Huawei,A15S06HAC,0.3,
Antenna,Huawei,ADU 4518R1V6,1365 x 269 x 0.08 mm,
Dish,,,0.90 m,
Antenna,TBD,TBD,2133mmx356mmx178mm,
Dish,Andrew,,1.8 m,
Antenna,HUAWEI,AMB4520R0V06,2550mm x 399mm x 196mm,
Antenna,,MY-PS191806,600mm x 900mm,
Dish,Andrew,ANDREW,1.8,
Dish,Huawei,Huawei A07S18HAC,1.8,
Dish,Huawei,Huawei A15S06HAC,0.6,
Antenna,,MY-PS191806,0.6,
Dish,Huawei,Huawei A15S03HAC,0.3,
Antenna,Andrew,LDX-6515DS-VTM,2070 x 269 x 132 mm,
Antenna,,MGD3-800TV,,
RRU/RRH,Huawei,5909,400 x 300 x 100 mm,
RRU/RRH,Huawei,5904,400 x 300 x 120 mm,
RRU/RRH,Huawei,3800,610x380x200,
RRU/RRH,Huawei,3900,.49 x .38 x 0.17 m,
Antenna,RYMSA,LM2D3-800TV,2615x350x145,
Antenna,Andrew,DBXLH-65655EC-VTM,2574 x 269 x 132 mm,
Dish,,,0.9,
RRU/RRH,Ericsson,3800,610x380x200,
Dish,HUAWEI,A7WD18MAC-3NX,1.80m,
RRU/RRH,TBD,,TBD,
Antenna,Rymsa,TGA D3-800TV,2600mm x 340mm x 140mm,
Antenna,TBD,,,
Antenna,RYMSA,TGAD3-800TV,2600x340x140,
RRU/RRH,Huawei,3936,400 x300 x 100 mm,
RRU/RRH,Huawei,3281,400 x300 x 150 mm,
RRU/RRH,Ericsson,221040,514 x 334 x 176 mm,
Antenna,Allgon,7220 14,1899 x 269 x 71 mm,
RRU/RRH,Huawei,3281,400x300x150,
Antenna,Commscope,RWPX310R-V,2490 x 296 x 244 mm,
RRU/RRH,Huawei,3936,470X300X120,
RRU/RRH,Huawei,3952,470x300x120,
RRU/RRH,Huawei,5301,470x300x120,
RRU/RRH,Huawei,SRRUB05-850,485 x 380 x 170 mm,
RRU/RRH,Huawei,RRU3952,470 x 300 x 120 mm,
RRU/RRH,Huawei,RRU5301,470 x 300 x 120 mm,
RRU/RRH,Huawei,RRU3036,470 x 300 x 120 mm,
Antenna,Andrew,CCVVPX30811R,2100 x 498 x 197 mm,
Dish,CommScope,VHLP2-7W-HW1,0.6m,
Antenna,Amphenol,C-BXA-171065/B-M,1360 x 160 x 80 mm,
RRU/RRH,Huawei,MRRU,610mm x 380mm x 200 mm,
RRU/RRH,Huawei,SRRU.B05-0850,485mm x 380mm x 170mm,
Dish,,,1.2m,
RRU/RRH,Huawei,RRU3936,400mm x 300mm x 120mm,
RRU/RRH,Huawei,5517T,520 x 480 x 140 mm,
Antenna,RYMSA,BGD3-800TV,1340 x 300 x 90 m,
Dish,Ericsson,UKY21095/SC11,0.6 m,
Dish,Huawei,A15D09MDD-3NX,0.9 m,
Antenna,Andrew,LDX-6515DS-VTM,2070mm x 269mm x 132mm,
Dish,Andrew,VHLP2,0.60m,
Antenna,Andrew,LDX-6515DS-VTM,2070 mm x 269mm x 132mm,
Antenna,Andrew,RVVPX310,2533mm x 350mm x 208mm,
Antenna,Commscope,RVVPX310R-V,2490 x 296 x 244 mm,
Dish,Huawei,A15S03HAC,300 mm,
Dish,Ericsson,Mini Link,0.60 m,
RRU/RRH,Ericsson,221940,,
Antenna,Commscope,HBX-6516DS-VTM,1306 x 168 x 84 m,
Dish,Ericsson,,,
Dish,Andrew,PD,1.80 m,
Dish,Commscope,VHLP1,0.3,
Dish,PD,Commscope,0.30 m,
RRU/RRH,Ericsson,RRU's 221940,,
Dish,Ericsson,,37.92,
Dish,Huawei,A07S06HAC,0.60 m,
RRU/RRH,Huawei,5508,480x354x140,
Antenna,Andrew,,,
Dish,Ericsson,,0.60 m,
Dish,Huawei,PD,0.90 m,
RRU/RRH,Huawei,5904,400mm x 300mm x 120mm,
Dish,Ericsson,,1.20m,
Dish,PD,PD,1.80 m,
Antenna,RYMSA,MY DTBS196518,1302 x 155 x 84 mm,
Antenna,Andrew,HBX6513DS-VTM,695 x 166 x 63 mm,
Antenna,PD,PD (Reserved for future),2133 x 356 x 178 mm,
Dish,PD,PD (Reserved for future),1.2m,
RRU/RRH,Ericsson,RRU 12 B2,636 x 383x 169 mm,
Antenna,Commscope,HBX-6513DS-VTM,695 x 166 x 83 mm,
Dish,PD,PD,,
Antenna,,,190 x 0.15 x 0.05 m,
RRU/RRH,Ericsson,3702,480 x 370 x 150 mm,
Antenna,Moyano,MY-DBS-196518,1300 x 150 x 70 m m,
Antenna,,,1300 x 160 x 80 mm,
Dish,Ericcsson,Minilink,1.2,
Dish,Cambiun,3094HH,0.5,
Dish,Ericcsson,Minilink,0.6,
Dish,Ericcsson,BF262233/2,0.9,
Antenna,Moyano,MY-DBS199017,1300 x 160 x 60 mm,
Antenna,Commscope,HBXX-6516DS-VTM,1300 x 160 x 80 mm,
Dish,Ericsson,Minilink,0.3 m,
Dish,Andrew,A15S03HAC,0.3 m,
Antenna,Commscope,HBXX-6516DS-VTM,1290 x 300 x 80 mm,
Antenna,Combat,ODV2-065 R18K-G,1315 x 265 x 90 mm,
Antenna,EMS,RR651902-DP,1820 x 200 x 70 mm,
Dish,Ericsson,Mini_Link,0.6,
Antenna,Huawei,ADU4516R6V06,1365x260x80,
RRU/RRH,Ericsson,12 B2,520 x 470 x 160 m,
RRU/RRH,Ericsson,11 B2,640 x 380 x 160 m,
Dish,Cambiun,350B,0.45,
Antenna,Comba,ODV065R18K-G,1310 x 260 x 90 mm,
Antenna,Rymsa,DGD3-800TV,1340 x 300 x 900 mm,
Antenna,EMS,RR651802DLP2,1420 x 200 x 70 mm,
Dish,Cambiun,350B,0.45 m,
Antenna,Moyano,MY-DTBSBS-196518,1360 x 160 x 80 mm,
Antenna,Comba,ODV2-065R18K-G,1315 x 160 x 90 mm,
RRU/RRH,Ericsson,RRU 12 B2,518 x 470 x156 mm,
Antenna,,AMB4519R6V06,2099 x 399 x 196 mm,
Antenna,TBD,TBD,1365 x 265 x 90 mm,
Dish,HUAWEI,A15S03HAC,0.30m *Original Right 0.60m,
RRU/RRH,Ericsson,221920,365 x 286 x 470 mm,
Dish,Huawei,A15S13HAC,0.3 m,
Dish,Ericsson,Mini Link,0.60m,
Antenna,TBD,ADU4518R1V06,2133mm x 356mm x 178 mm,
Dish,Ericksson,Mini-Link,0.6,
RRU/RRH,Ericsson,11 B2,640 x 380 x 160 mm,
Antenna,Andrew,HBX-6516DS-VTM,1427 x 402 x 292 mm,
Antenna,PD,PD,1300 X 160 X 80 mm,
Antenna,Andrew,HBX-6515DS-VTM,1306 x 166 x 83 mm,
RRU/RRH,Huawei,3804,340 x 300 x 90 mm,
Dish,Andrew,VHLP2,0.6m,
RRU/RRH,Huawei,3804,340x300x90,
Antenna,Commscope,HBX-6516DS-VTM,1340 x 300 x 90 mm,
Dish,PD,AM-02-15-CR,0.6m,
RRU/RRH,Ericsson,112,636 x 383 x 169 mm,
Antenna,Commscope,HBX-6516DS-VTM,1300 x 160 x 80 mm,
Antenna,Huawei,ADU-4518R1V06,1360x269x86,
Antenna,Huawei,AMB4520R9V09,2550x399x196,
Dish,Huawei,AM-2-15-CR,0.6,
RRU/RRH,Huawei,3990,480 x 380 x 170 mm,
Antenna,Andrew,LDX-6516DS VTM,2570 x 260 x 130 mm,
Dish,SB4FT120NGW,1.2 m,33.11 kg,
Antenna,Commscope,HBXX-6516DS-VTM,1470 x 160 x 80 mm,
Antenna,Huawei,ATR4518R6V06,2350x450x240,
Dish,Huawei,SB4FT120NGW,1.2,
Antenna,Moyano,MY-DTBS-196518,1360 x 160 x 80 mm,
Antenna,Comba,ODV2-065R18-K-G,1315 x 265 x 90 mm,
Antenna,PD,PD,2133 x 356 x 178mm,
Dish,Huawei,A11S12HAC,1.2m,
Dish,Huawei,A10S06HAC,0.6,
Dish,Huawei,A7WD12MAC-3NX,1.2,
Dish,Andrew,VHLP2-15-NC3,1.2m,
Dish,Kathrein,A15S03HAC,0.6m,
Dish,Huawei,A10S06HAAC,0.8M,
Dish,Ericsson,UKY22043/SC15,1.2 m,
Dish,Andrew,VHLP2-15-CR4B,0.6m,
Dish,Andrew,VHLP2-15-HW1A,0.6m,
Dish,Ericsson,UKY22040DC15,1.2 m,
Dish,Andrew,A15S03HAC,0.3m,
Dish,Ericsson,UKY21052SC15,1.8m,
Dish,Kathrein,ND,0.6m,
Antenna,Commscope,HWXX-6516DS1-VTM,1390 x 305 x 118 mm,
RRU/RRH,Ericsson,221940,514 x 334 x 176 mm,
RRU/RRH,Ericsson,11 B2,636 x 383 x 90 mm,
Antenna,RYMSA,MGD3-800TV,1380 x 160 x 90 mm,
RRU/RRH,Ericsson,01 B2,636 x 383 x 90 mm,
Dish,Ericsson,A15S03HAC,0.3m,
Dish,Andrew,VHLP2,0.6 m,
Antenna,Moyano,MY-DBS196518(2),1300 x 160 x 80 mm,
Dish,Ericsson,VHLP2,0.6,
Dish,Ericsson,VLPH2,0.6,
Dish,Huawei,PD,0.60 m,
Antenna,Commscope,2CPX208-V3-KT,2090 x 504 x 118 mm,
RRU/RRH,Huawei,A15S06HAC,0.6,
Antenna,Commscope,DBXLH-6565EC-VTM,2572 x 268.2 x 134.1 m,
Antenna,Commscope,HBXX-6516DS-VTM,1472 x 164.8 x 85.3 m,
Dish,RFS,SB4-VV71,1.2 m,
RRU/RRH,Huawei,3900,.49 x .38 x .17 m,
Antenna,Huawei,2CPX208-V3-KT,2090x504x118,
Dish,,,0.6,
Dish,,RG8,9.52,
RRU/RRH,TBD,,490mmx380mmx170mm,
RRU/RRH,HUAWEI,5990,400mmx300mmx100mm,
RRU/RRH,HUAWEI,5904W,400mmx300mmx150mm,
Antenna,HUAWEI,AMB4819R5V06,2685mm x 359mm x 178mm,
Antenna,HUAWEI,ADU4518R6V06,1999mmx349mmx166mm,
Antenna,RYMSA,MGD3-800 TV,1340 x 160 x 90 mm,
Dish,Ericsson,Minilink,0.3,
Antenna,Andrew,HBX6516DS-VTM,1300 X 160 X 80 mm,
Antenna,Andrew,HBX-6513DS-VTM,1300 X 160 X 80 mm,
RRU/RRH,Ericsson,221940,520 x 330 x 170 mm,
Antenna,Moyano,MY-DTBS-196518,1350 x 160 x 80 mm,
Antenna,Commscope,HBX-6516DS-VTM,1300 x 1600 x 80 mm,
Dish,Huawei,A10WD06MDD-3NX,0.6,
Dish,Minilink,A15S09HAC,1.2m,
Dish,Huawei,A15S05HAC,0.60m,
Dish,Andrew,VHLP3-7W-HW1,0.9m,
Dish,PD,Reserved for future,1.2 m,
Antenna,Reserved for future,PD,2133 x 356 x 178 mm,
Dish,PD,Reserved for future,0.6 m,
RRU/RRH,Huawei,3800,610 x 380 x 200 mm,
Dish,Huawei,A7WD12MAC,1.2,
Antenna,Andrew,LDX-6516DS-VTM,2070 x 269 x 132 mm,
RRU/RRH,PD,3900,490 x 380 x 170 mm,
Antenna,Huawei,ADU 4518R1v06,1365 x 269 x 86 mm,
Dish,Huawei,A7WD12MAC-3NX,1.20 m,
Antenna,HUAWEI,ADU4518R1V06,1365 X 269 X 86mm,
Dish,Ericsson,PD,0.60m,
Dish,Commscope,,0.60 m,
RRU/RRH,Huawei,3268,400x300x100,
RRU/RRH,Huawei,3936,400 x 300 x 100 mm,
RRU/RRH,Huawei,3268,400 x 300 x 100 mm,
Antenna,Huawei,A704516R0V06,1936x298x149,
RRU/RRH,Ericsson,2217,340x291x105,
Antenna,Andrew,HBX6516DS-VTM,1306 x 163 x 84 mm,
RRU/RRH,Ericsson,11 B2,636x383x169,
RRU/RRH,Ericsson,01B2,518 x 470 x 187 mm,
RRU/RRH,Ericsson,2217,340 x 291 x 105 mm,
Antenna,PD,PD,2133 x 356 x 179 mm,
Antenna,Andrew,HBXX-6516DS-VTM,1293 x 305 x 165 mm,
RRU/RRH,Ericsson,12 B2,518mmx470mmx156mm,
Dish,HUAWEI,ND,1.20m,
Dish,Ericsson,MiniLink,1.80m,
Dish,HUAWEI,ND,0.30m,
Dish,RFS,ND,0.60m,
Dish,HUAWEI,,0.30m *O.R. 0.60m,
Dish,HUAWEI,,0.90m *O.R. 1.20m,
Antenna,HUAWEI,AAU5339,699mmx395mmx160mm,
Antenna,Commscope,HBX-6516DS-VTM,1306mmx165x84mm,
Antenna,EMS,EMS-RR901804DP,1828mmx203mmx71mm,
Antenna,(4) TMA + (3) RYMSA + (2) EMS,(4) TBA +(3) DEGD3-800TV + (2) RR651802DP12,(4) TBA + (3) 1340 x 300 x 90 mm + (2) 1829 x 203 x 71 mm,
Dish,Ericsson,Minilink,,
RRU/RRH,Ericsson,RRU 12 B2,187 x 470 x 518 mm,
RRU/RRH,Huawei,12B2,187x470x518,
Dish,Ericsson,Mini Link,3.0m,
Antenna,Comba,ODV2-065R18K,1315 x 265 x 90 mm,
Dish,Huawei,Minilink,1.2,
Antenna,Huawei,CombaODV2,1315x265x90,
Antenna,Huawei,HBXX-6516DS-VTM,1293x305x165,
Dish,Huawei,Minilink,0.6,
Antenna,Commscope,HBXX-6516DS-VTM,1293 x 305 x 165 mm,
RRU/RRH,Ericsson,12 B2,518x470x156,
Antenna,Comba,ODV-065R18K,1315 x 265 x 90 mm,
Antenna,Comba,ODV2-065R18K-G,1310x249x60,
Antenna,HUAWEI,ADU4518R1V06,1365 x 299 x 180mm,
Antenna,HUAWEI,AAU5726,1080 x 670 x 220 mm,
Antenna,PD,PD,1365 x 299 x 180 mm,
Antenna,Huawei,ADU 4518R1V06,1365x299x180,
Antenna,Huawei,ADU4516R6V06,1306x166x83,
Antenna,Huawei,AMB4519R6V06,1468x349x166,
Antenna,DPL2/EMS,RR651802,1422 x 203 x 71 mm,
RRU/RRH,Huawei,5508,400 x 300 x 120 mm,
Dish,Ericsson,Minilink,1.80 & 1.20,
Dish,Andrew,Minilink,1.2,
Antenna,Huawei,ADU4518R1V06,1365x269x180,
Dish,Huawei,Huawey,0.6,
RRU/RRH,Huawei,5508,400x300x121,
Dish,Huawei,Huawei,0.9,
RRU/RRH,Huawei,5508,400 x 300 x 121 mm,
Dish,Andrew,PD,1.2m,
Dish,Ericsson,Minilink,0.3m,
RRU/RRH,Ericsson,12 B2,610x380x200,
Antenna,Huawei,AMB4519R5v06,1468x349x166,
RRU/RRH,Ericsson,11 B2,524x470x158,
Dish,Huawei,Huawei,0.3,
RRU/RRH,Huawei,3936,0.39X0.30X0.11,
RRU/RRH,Ericsson,01B2,514 x 334 x 176 mm,
Antenna,Andrew,HBX6515DS/VTM,1306 x 168 x 90 mm,
Antenna,Allgon,7220.14,1889 x 269 x 71 mm,
RRU/RRH,Huawei,RRU3936,390mm x 300mm x 110mm,
Antenna,RYMSA,BGD3-800TV,1828 x 203 x 71 mm,
RRU/RRH,Huawei,,610mm x 380mm x 200mm,
Antenna,EMS,RR901804DP,1828 x 203 x 71 mm,
RRU/RRH,Huawei,,524mm x 470mm x 158mm,
Antenna,EMS,ND,1306 x 168 x 90 mm,
Antenna,RYMSA,BGD3-800,2133 x 356 x 178mm,
Antenna,EMS,ND,2133 x 356 x 178 mm,
Dish,Ericsson,Minilink,0.9 m,
Antenna,Andrew,LBX-6515DS-VTM,2574mm x 269mm x 132mm,
Dish,MiniLink,,1.20m,
Antenna,RRU,,29.45 x 30.25 mm,
Antenna,Huawei,5339w,699x395x160,
Antenna,Huawei,5339w,699x395x161,
Antenna,Commscope,DBXLH-6565EC-VTM,2574 x 269 x 132 mm,
Antenna,Andrew,HBXX-6516DB-VTM,1294 x 305 x 166 mm,
Dish,Mini-Link,,0.60 m,
Dish,Huawei,,0.30 m,
Antenna,Commscope,2UPX210B-T2,2533x640x235,
RRU/RRH,Ericsson,12 B2,518 x 470 x 156mm,
Antenna,Huawei,AAU5733,995x499x210,
Antenna,Commscope,2UPX210B-T2,2533mmx640mmx235mm,
Antenna,HUAWEI,A704516R0v06,1936mmx298mmx149mm,
Antenna,HUAWEI,AAU5733,995mmx499mmx210mm,
Antenna,Comba,ODV2065R,1315 x 265 x 90mm,
Dish,Huawei,Minilink,0.9m,
Antenna,Huawei,ADU 4516R6v06,1999x429x196,
Antenna,Huawei,ADU 4518R1V06,1365X269X180,
Dish,Ericsson,Ericsson Minilink,1.2,
Dish,Ericsson,Minilink,0.30 m,
Antenna,Andrew,RVV-65D-R3,2688mm x 350mm x 208mm,
RRU/RRH,Huawei,3952,400mm x 300mm x 120mm,
RRU/RRH,Huawei,5258,480mm x 356mm x 140mm,
Antenna,HUAWEI,ATD4516R8,1100mm x 259mm x 135mm,
Antenna,HUAWEI,ADU4518R6V01,1365mmx269mmx86mm,
Dish,PD,,1.20m,
Antenna,Andrew,LDX6515-VTM,2073 x 269 x 132 mm,
Dish,Ericsson,Ericsson Minilink,0.6,
Dish,Huawei,RadioWaves,0.6,
Dish,Huawei,Huawey,0.3,
Dish,Ericsson,Mini-Link,0.60 m,
Dish,Radiowaves,SP2 -5.8,0.60 m,
Antenna,Huawei,ADU 4516R1V06,1999x429x196,
Dish,Andrew,VHLP4-18,1.2m,
RRU/RRH,Huawei,5908,400mmx300mmx120mm,
Dish,Ericsson,Mini-Link,0.60m,
Antenna,Huawei,ADU4518R1V06,1365mm x 269mm x 86 mm,
Antenna,Huawei,ADU4516R1V06,1999mm x 429mm x 196 mm,
Antenna,Commscope,HWXX-6515DS1-VTM,1390 x 305 x 118 mm,
Dish,Huawei,PD,1.2 m,
RRU/RRH,Huawei,5301,400 x 300 x 120 mm,
Antenna,Commscope,RVV- 65D-R3,2268 x 350 x 208 mm,
Dish,Ericsson,Ericsson Mini link.,1.2,
Dish,Ericsson,Mini-Link,1.20 m,
RRU/RRH,huawei,5409w,400x300x150,
Dish,PD,PD,0.91 m,
RRU/RRH,Huawei,AAU5726,1080x670x220,
RRU/RRH,Ericsson,5512,480mm x 356mm x 140mm,
Antenna,TBD,TBD,1365mm x 269mm x 86 mm,
Dish,TBD,,0.90 m,
Antenna,Huawei,AAU5339,699mm x 395mm x 160mm,
Antenna,Huawei,ADU4516R1V06,1999mm x 429mm x 196 mm,
RRU/RRH,HUAWEI,AAU5339W,699mmx395mmx160mm,
Antenna,HUAWEI,ATR4518R6V06,1999mmx349mmx166mm,
RRU/RRH,HUAWEI,5909,400mmx300mmx100mm,
RRU/RRH,Ericsson,221940,518x470x156,
RRU/RRH,Ericsson,221940,518 x 470 x 156mm,
