Equipment Category,Manufacturer Name,Model Name,Dimensions,column4
RRU/RRH,,B02-1900 / RRU,610 x 380 x 200 mm,
Antenna,Huawei,ADU4518R1v01,1365x269x86,
Antenna,Huawei,DXX-1710-2200/1710-2200-65/65-19.5i/19.5i-M/M,1954 323 x 89 mm,
RRU/RRH,,B02-1900/ RRU,640 x 380 x 200 mm,
Antenna,Huawei,ATR4518R6-V06,1999x349x166,
Antenna,Huawei,DXX-1710-2200/1710-2200-65/65-19.5i/19.5i-M/M,1954 X 323 X 89 mm,
Dish,Ericsson,PD,0.90m,
Antenna,Huawei,ADU4518R1V06,1365 x 269 x 86 mm,
RRU/RRH,Ericsson,5904,400 x 300 x 150 mm,
Dish,Ericsson,Minilink,1.20 m,
Dish,Huawei,A15S09HAC,0.90 m,
Dish,PD,PD,0.90 m,
Dish,Ericsson,UKY21040/SC15,1.2,
Dish,Huawei,A15S09HAC,0.9,
RRU/RRH,Huawei,5903,400 x 300 x 120 mm,
Antenna,TBD,,"2,073.00cm x 269.00cm x 132.00mm [816.14"" x 105.91"" x 5.2""]",
RRU/RRH,,TBD,400 x 300 x 120 mm,
Dish,,VHLP218-NC3,0.60m,
RRU/RRH,Ericsson,01 B2,636 x 383 x 169 mm,
Antenna,Commscope,LDX-6515DS-VTM,2073x269x132mm,
RRU/RRH,Ericsson,12 B2,518 x 470 x 156 mm,
Antenna,CommScope,RVV-65D-R3,2688x350x208,
RRU/RRH,Huawei,5903,400x300x120,
Antenna,Andrew,HBX6516DS-VTM,1306 x 168 x 84 mm,
Antenna,Andrew,HBXX6516DS-VTM,1290 x 300 x 160 mm,
Dish,Huawei,A15S03HAC,0.3 m,
Antenna,Huawei,AMB4520R9V06,2550x399x196,
Dish,Huawei,A7W06MAC-3NX,0.6,
Antenna,,,,
Dish,,,,
RRU/RRH,Huawei,5258,480x356x140,
Antenna,Huawei,ATD4516R8V08,1100x259x135,
RRU/RRH,Huawei,5639W,965mm x 470mm x 160 mm,
Antenna,Andrew,LDX-6515DS-VTM,2073mm x 269mm x 132mm,
RRU/RRH,Huawei,3936,400mm x 300mm x 100mm,
Antenna,Andrew,RVV-65D-R3-KT,2830mm x 460mm x 350mm,
RRU/RRH,Huawei,3804,488mm x 280mm x 155mm,
Antenna,HUAWEI,5639W,965mm x 470mm x 160mm,
Antenna,CommScope,RVV-65D-R3-KT,2830x460x350,
RRU/RRH,Huawei,5639W,965x470x160,
Antenna,Huawei,5639W,965x470x160,
Antenna,CommScope,LDX6515DS-VTM,2073x269x132,
RRU/RRH,Huawei,3804,488x280x155,
RRU/RRH,Huawei,3936,400x300x100,
Antenna,Huawei,ATR4518R6v06,1365x299x109,
RRU/RRH,Huawei,5909,400x300x100,
RRU/RRH,Huawei,5904w,400x300x350,
RRU/RRH,Huawei,3971,400x300x120,
Dish,,,60 cm,
RRU/RRH,Huawei,5818,480x356x140,
Antenna,PD,PD,0.6 m,
RRU/RRH,Huawei,3936,470X300X120,
RRU/RRH,Huawei,3952,400 x 300 x 150 mm,
RRU/RRH,Huawei,3281,400 x 300 x 150 mm,
Antenna,Huawei,RVVS4-65M-R4,999x350x208,
RRU/RRH,Huawei,3936,400x300x120,
RRU/RRH,Huawei,5904,400x300x120,
Antenna,Commscope,Andrew HBX6516VTM,1306x166x83,
RRU/RRH,,,,
RRU/RRH,Huawei,5904,400x300x150,
Dish,,,0.6m,
Dish,,,1.2 M,
Antenna,Huawei,AAU5726,1080x670x220,
Antenna,Huawei,ADU4518R1V06,1365x299x109,
Dish,Huawei,A15S03HAC,0.3,
RRU/RRH,HUAWEI,5904W,400x300x150mm,
RRU/RRH,TBD,,518x470x156mm,
Antenna,HUAWEI,ADU4518R1V06,1365x269x86mm,
Dish,TBD,TBD,0.60m,
Antenna,TBD,TBD,2133x356x178mm,
Dish,TBD,TBD,1.20m,
RRU/RRH,B02-1900 /RRU,610 x 380 x 200 mm,25 kg,
Dish,Ericsson,0.90 m,45.81 kg,
Antenna,Huawei,ADU4518R1v06,1365x289x86,
Dish,Cambium,3082HH,0.6,
RRU/RRH,HUAWEI,3936,400x300x100mm,
RRU/RRH,HUAWEI,3942,485x380x170mm,
RRU/RRH,HUAWEI,AAU5339W,699x395x160mm,
Antenna,Commscope,2CPX208R V3,"2,090.00cm x 504.00cm x 118.00mm [822.83"" x 198.43"" x 4.65""]",
RRU/RRH,Huawei,3804,485 x 285 x 170mm,
Antenna,Commscope,LDXX6515DS-VTM,"2,073.00cm x 269.00cm x 132.00mm [816.14"" x 105.91"" x 5.2""]",
RRU/RRH,Huawei,5903,400 x 300 x 120mm,
Antenna,HUAWEI,ADU-4518R1V01,1365x269x86mm,
RRU/RRH,Huawei,3804,2090x504x118,
Antenna,Commscope,LDX-6516DS-VTM,2570x260x130mm,
RRU/RRH,Huawei,5903,485x380x170,
Antenna,Huawei,LDX-6515DS-VTM,2073x269x132,
Antenna,Huawei,2CPX208RV3,2570x260x130,
RRU/RRH,B02-1900,RRU,610 mm x 380 mm x 200 mm,
Antenna,Huawei,ATR4518R6v06,1999 mm x 349 mm x 166 mm,
Antenna,PD,,2115mm x 265mm x 145mm,
RRU/RRH,HUAWEI,5304W,400mm x 300mm x 150mm,
Dish,HUAWEI,A7WD06MAC-3NX,0.60m,
